Model,Algorithm,k,k-way Time (s),collapsed Time (s),Speedup,Speedup CI Min,Speedup CI Max,% Change,t-statistic,p-value
armadillo,bsah,4,1.03031,1.0342,0.99623,0.98873,1.0015,0.37794,-1.05328,3.17e-01
stanford-bunny,bsah,4,0.95217,0.95384,0.99825,0.99508,1.00094,0.17574,-1.11741,2.82e-01
suzanne,bsah,4,1.14541,1.14534,1.00007,0.99887,1.00119,-0.00655,0.10553,9.17e-01
teapot,bsah,4,0.85832,0.85708,1.00145,1.00002,1.00298,-0.14503,1.83971,8.32e-02
armadillo,median,4,1.24614,1.246,1.00011,0.99897,1.00133,-0.01148,0.18095,8.59e-01
stanford-bunny,median,4,1.11346,1.10951,1.00357,0.99887,1.01137,-0.35538,0.96098,3.61e-01
suzanne,median,4,1.41207,1.4127,0.99956,0.99849,1.00063,0.04412,-0.77061,4.51e-01
teapot,median,4,1.01046,1.01082,0.99965,0.99794,1.00121,0.03493,-0.39349,7.00e-01
armadillo,sah,4,1.00947,1.00884,1.00062,0.99787,1.0031,-0.06201,0.44203,6.64e-01
stanford-bunny,sah,4,0.93698,0.93696,1.00002,0.99798,1.002,-0.00225,0.0207,9.84e-01
suzanne,sah,4,1.09658,1.09575,1.00076,0.99957,1.00204,-0.07633,1.15371,2.64e-01
teapot,sah,4,0.83955,0.83938,1.0002,0.99917,1.00119,-0.02049,0.38101,7.09e-01
armadillo,bsah,8,1.65261,1.65086,1.00106,0.9995,1.00258,-0.10589,1.28638,2.16e-01
stanford-bunny,bsah,8,1.4908,1.48939,1.00095,0.99828,1.00498,-0.09451,0.49911,6.28e-01
suzanne,bsah,8,1.61328,1.61053,1.00171,0.99902,1.00553,-0.17034,0.95129,3.62e-01
teapot,bsah,8,1.25748,1.25639,1.00087,0.99962,1.00221,-0.08644,1.23893,2.32e-01
armadillo,median,8,2.06788,2.06605,1.00088,1.00001,1.00168,-0.08825,1.95122,6.77e-02
stanford-bunny,median,8,1.64603,1.64484,1.00073,0.99951,1.00195,-0.07248,1.09516,2.94e-01
suzanne,median,8,1.99388,1.99563,0.99912,0.9977,1.00045,0.08802,-1.19656,2.47e-01
teapot,median,8,1.53365,1.53365,1.0,0.9985,1.00144,-7e-05,0.00082,9.99e-01
armadillo,sah,8,1.61436,1.61463,0.99983,0.99854,1.00119,0.01716,-0.24047,8.13e-01
stanford-bunny,sah,8,1.48245,1.48263,0.99988,0.99834,1.0015,0.01214,-0.14195,8.89e-01
suzanne,sah,8,1.56751,1.56779,0.99982,0.9987,1.00093,0.01786,-0.29375,7.74e-01
teapot,sah,8,1.2324,1.23387,0.99881,0.99758,1.00001,0.11912,-1.81607,8.66e-02
armadillo,bsah,16,10.83166,10.83527,0.99967,0.99813,1.00131,0.03333,-0.38819,7.03e-01
stanford-bunny,bsah,16,8.09031,8.07443,1.00197,1.00009,1.00408,-0.19625,1.84182,9.08e-02
suzanne,bsah,16,7.45145,7.45719,0.99923,0.99811,1.00029,0.07703,-1.306,2.10e-01
teapot,bsah,16,5.66311,5.66526,0.99962,0.99824,1.00089,0.03809,-0.53084,6.03e-01
armadillo,median,16,13.53315,13.52863,1.00033,0.99909,1.00159,-0.0334,0.49443,6.27e-01
stanford-bunny,median,16,8.52661,8.51956,1.00083,0.9997,1.00188,-0.08269,1.3988,1.81e-01
suzanne,median,16,8.96168,8.95896,1.0003,0.99925,1.00131,-0.03043,0.55011,5.89e-01
teapot,median,16,5.83352,5.83448,0.99984,0.99866,1.00114,0.01644,-0.24157,8.13e-01
armadillo,sah,16,10.6974,10.7042,0.99936,0.99791,1.00094,0.06357,-0.78335,4.44e-01
stanford-bunny,sah,16,8.1438,8.1343,1.00117,1.00011,1.00229,-0.11668,1.99071,6.51e-02
suzanne,sah,16,7.25161,7.24565,1.00082,0.99985,1.00178,-0.08217,1.58474,1.32e-01
teapot,sah,16,5.6447,5.64438,1.00006,0.99896,1.00108,-0.00563,0.09923,9.22e-01
