Model,Algorithm,k,Type,k=2 Time (s),k=X Time (s),Speedup,Speedup CI Min,Speedup CI Max,% Change,t-statistic,p-value
armadillo,bsah,4,k-way,3.98799,3.99638,0.9979,0.98925,1.00676,0.21041,-0.4493,6.59e-01
stanford-bunny,bsah,4,k-way,2.85825,2.83954,1.00659,1.00077,1.01495,-0.65464,1.69407,1.18e-01
suzanne,bsah,4,k-way,1.25791,1.16396,1.08071,1.07573,1.08902,-7.46821,20.49195,4.97e-09***
teapot,bsah,4,k-way,1.02922,0.9939,1.03554,1.03122,1.04309,-3.43217,9.90791,3.03e-06***
armadillo,median,4,k-way,2.26726,2.23294,1.01537,1.01082,1.02316,-1.51389,4.13442,2.36e-03**
stanford-bunny,median,4,k-way,1.77622,1.73259,1.02518,1.02069,1.03315,-2.4564,6.52379,9.93e-05***
suzanne,median,4,k-way,1.5162,1.41879,1.06866,1.06366,1.07739,-6.42446,16.39462,4.18e-08***
teapot,median,4,k-way,1.12591,1.0581,1.06409,1.05869,1.07299,-6.02281,15.32571,4.49e-08***
armadillo,sah,4,k-way,4.11631,4.13204,0.99619,0.99384,0.99806,0.3821,-3.32258,5.60e-03**
stanford-bunny,sah,4,k-way,2.92773,2.91644,1.00387,1.00135,1.00629,-0.38562,2.90336,9.52e-03**
suzanne,sah,4,k-way,1.19567,1.1145,1.07283,1.07094,1.07477,-6.78817,72.71615,1.45e-20***
teapot,sah,4,k-way,1.00459,0.97661,1.02865,1.02745,1.02991,-2.78479,44.06153,9.72e-20***
armadillo,bsah,4,collapsed,3.98799,3.98078,1.00181,0.99719,1.00871,-0.18075,0.55647,5.91e-01
stanford-bunny,bsah,4,collapsed,2.85825,2.83507,1.00818,1.00284,1.01631,-0.81095,2.17063,5.53e-02
suzanne,bsah,4,collapsed,1.25791,1.16403,1.08065,1.07572,1.08894,-7.4628,20.52073,5.50e-09***
teapot,bsah,4,collapsed,1.02922,0.99524,1.03414,1.02971,1.04172,-3.30133,9.50394,3.99e-06***
armadillo,median,4,collapsed,2.26726,2.23354,1.0151,1.01056,1.02286,-1.4875,4.06415,2.64e-03**
stanford-bunny,median,4,collapsed,1.77622,1.73664,1.02279,1.01503,1.03242,-2.22818,4.977,1.50e-04***
suzanne,median,4,collapsed,1.5162,1.41815,1.06914,1.06412,1.07783,-6.4665,16.49696,3.90e-08***
teapot,median,4,collapsed,1.12591,1.05782,1.06437,1.0594,1.07297,-6.04786,15.58558,6.75e-08***
armadillo,sah,4,collapsed,4.11631,4.13094,0.99646,0.99491,0.99802,0.35557,-4.21614,6.33e-04***
stanford-bunny,sah,4,collapsed,2.92773,2.91613,1.00398,1.00157,1.00634,-0.39626,3.08668,6.49e-03**
suzanne,sah,4,collapsed,1.19567,1.1153,1.07206,1.0703,1.07387,-6.72163,75.96299,9.14e-19***
teapot,sah,4,collapsed,1.00459,0.97674,1.02851,1.02756,1.02956,-2.77238,53.11638,2.32e-17***
armadillo,bsah,8,k-way,3.98799,4.629,0.86152,0.85755,0.86747,16.07343,-49.2657,7.72e-13***
stanford-bunny,bsah,8,k-way,2.85825,3.38348,0.84476,0.84053,0.85143,18.37619,-49.71305,7.65e-13***
suzanne,bsah,8,k-way,1.25791,1.62945,0.77198,0.76836,0.77801,29.53683,-79.95657,4.45e-15***
teapot,bsah,8,k-way,1.02922,1.39482,0.73789,0.73475,0.74331,35.52145,-101.23239,4.31e-16***
armadillo,median,8,k-way,2.26726,3.07494,0.73734,0.73411,0.74294,35.62332,-97.14326,2.12e-15***
stanford-bunny,median,8,k-way,1.77622,2.28007,0.77902,0.77569,0.78503,28.36652,-75.35788,4.09e-14***
suzanne,median,8,k-way,1.5162,2.00196,0.75736,0.7537,0.76361,32.0384,-80.83158,6.49e-15***
teapot,median,8,k-way,1.12591,1.58232,0.71156,0.70803,0.71742,40.53688,-102.30072,2.49e-16***
armadillo,sah,8,k-way,4.11631,4.76062,0.86466,0.86369,0.86573,15.65272,-234.12635,1.18e-32***
stanford-bunny,sah,8,k-way,2.92773,3.47688,0.84206,0.84027,0.84387,18.75686,-153.56969,7.80e-28***
suzanne,sah,8,k-way,1.19567,1.58683,0.7535,0.75215,0.75489,32.7147,-298.07107,1.22e-34***
teapot,sah,8,k-way,1.00459,1.37265,0.73186,0.73105,0.7327,36.63769,-511.16921,6.94e-38***
armadillo,bsah,8,collapsed,3.98799,4.62795,0.86172,0.85782,0.86755,16.04718,-49.80033,2.03e-12***
stanford-bunny,bsah,8,collapsed,2.85825,3.3864,0.84404,0.83941,0.85096,18.47824,-48.0395,3.52e-14***
suzanne,bsah,8,collapsed,1.25791,1.63222,0.77067,0.76593,0.77733,29.75685,-70.33089,3.93e-20***
teapot,bsah,8,collapsed,1.02922,1.39614,0.73719,0.73412,0.74253,35.64991,-102.3866,9.24e-16***
armadillo,median,8,collapsed,2.26726,3.07771,0.73667,0.73349,0.74226,35.74557,-97.6809,2.54e-15***
stanford-bunny,median,8,collapsed,1.77622,2.28194,0.77838,0.77474,0.78456,28.47148,-74.2815,7.53e-15***
suzanne,median,8,collapsed,1.5162,2.00022,0.75802,0.7544,0.76425,31.92337,-80.68469,7.94e-15***
teapot,median,8,collapsed,1.12591,1.58223,0.7116,0.70821,0.71739,40.52831,-103.28412,6.87e-16***
armadillo,sah,8,collapsed,4.11631,4.7602,0.86473,0.86381,0.86576,15.64257,-246.93257,3.66e-32***
stanford-bunny,sah,8,collapsed,2.92773,3.47583,0.84231,0.84039,0.84429,18.72087,-139.11896,1.08e-28***
suzanne,sah,8,collapsed,1.19567,1.58652,0.75364,0.75252,0.75483,32.68955,-386.49118,7.40e-25***
teapot,sah,8,collapsed,1.00459,1.37116,0.73266,0.73177,0.73356,36.4896,-463.48092,4.23e-35***
armadillo,bsah,16,k-way,3.98799,13.83753,0.2882,0.28685,0.29018,246.98017,-657.73711,1.68e-34***
stanford-bunny,bsah,16,k-way,2.85825,9.98091,0.28637,0.28494,0.28863,249.19702,-620.69883,7.67e-30***
suzanne,bsah,16,k-way,1.25791,7.47634,0.16825,0.16747,0.16955,494.34759,-1072.30516,1.11e-42***
teapot,bsah,16,k-way,1.02922,5.80499,0.1773,0.17653,0.17861,464.01731,-968.29996,7.05e-44***
armadillo,median,16,k-way,2.26726,14.55503,0.15577,0.15508,0.15696,541.96495,-1178.54238,3.84e-43***
stanford-bunny,median,16,k-way,1.77622,9.1667,0.19377,0.1929,0.19529,416.07938,-940.74558,1.75e-37***
suzanne,median,16,k-way,1.5162,8.96553,0.16911,0.16833,0.17049,491.31749,-1100.92004,3.76e-36***
teapot,median,16,k-way,1.12591,5.88404,0.19135,0.19042,0.19292,422.60101,-852.92785,3.23e-41***
armadillo,sah,16,k-way,4.11631,13.87552,0.29666,0.29629,0.29706,237.08665,-1390.25912,2.98e-29***
