Model,Algorithm,k,k-way Combined Time (s),Collapsed Combined Time (s),Speedup,% Change,t-statistic,p-value
armadillo,bsah,4,3.9964,3.9808,1.004,-0.4,1.136,2.84e-01
stanford-bunny,bsah,4,2.8395,2.8351,1.002,-0.2,1.018,3.24e-01
suzanne,bsah,4,1.164,1.164,1.0,0.0,-0.095,9.25e-01
teapot,bsah,4,0.9939,0.9952,0.999,0.1,-1.937,6.90e-02
armadillo,median,4,2.2329,2.2335,1.0,0.0,-0.39,7.01e-01
stanford-bunny,median,4,1.7326,1.7366,0.998,0.2,-0.921,3.80e-01
suzanne,median,4,1.4188,1.4182,1.0,-0.0,0.771,4.51e-01
teapot,median,4,1.0581,1.0578,1.0,-0.0,0.316,7.57e-01
armadillo,sah,4,4.132,4.1309,1.0,-0.0,0.213,8.34e-01
stanford-bunny,sah,4,2.9164,2.9161,1.0,-0.0,0.086,9.32e-01
suzanne,sah,4,1.1145,1.1153,0.999,0.1,-1.058,3.05e-01
teapot,sah,4,0.9766,0.9767,1.0,0.0,-0.248,8.07e-01
armadillo,bsah,8,4.629,4.6279,1.0,-0.0,0.418,6.83e-01
stanford-bunny,bsah,8,3.3835,3.3864,0.999,0.1,-0.735,4.75e-01
suzanne,bsah,8,1.6295,1.6322,0.998,0.2,-0.95,3.62e-01
teapot,bsah,8,1.3948,1.3961,0.999,0.1,-1.413,1.76e-01
armadillo,median,8,3.0749,3.0777,0.999,0.1,-1.74,9.91e-02
stanford-bunny,median,8,2.2801,2.2819,0.999,0.1,-1.189,2.57e-01
suzanne,median,8,2.002,2.0002,1.001,-0.1,1.186,2.51e-01
teapot,median,8,1.5823,1.5822,1.0,-0.0,0.077,9.39e-01
armadillo,sah,8,4.7606,4.7602,1.0,-0.0,0.167,8.69e-01
stanford-bunny,sah,8,3.4769,3.4758,1.0,-0.0,0.304,7.65e-01
suzanne,sah,8,1.5868,1.5865,1.0,-0.0,0.309,7.63e-01
teapot,sah,8,1.3726,1.3712,1.001,-0.1,1.756,9.64e-02
armadillo,bsah,16,13.8375,13.8322,1.0,-0.0,0.485,6.33e-01
stanford-bunny,bsah,16,9.9809,10.0005,0.998,0.2,-1.976,6.81e-02
suzanne,bsah,16,7.4763,7.4706,1.001,-0.1,1.31,2.08e-01
teapot,bsah,16,5.805,5.8029,1.0,-0.0,0.507,6.20e-01
armadillo,median,16,14.555,14.5601,1.0,0.0,-0.534,6.00e-01
stanford-bunny,median,16,9.1667,9.1743,0.999,0.1,-1.474,1.59e-01
suzanne,median,16,8.9655,8.9682,1.0,0.0,-0.547,5.91e-01
teapot,median,16,5.884,5.8834,1.0,-0.0,0.162,8.74e-01
armadillo,sah,16,13.8755,13.8698,1.0,-0.0,0.529,6.04e-01
stanford-bunny,sah,16,10.1409,10.1544,0.999,0.1,-1.838,8.67e-02
suzanne,sah,16,7.2649,7.2709,0.999,0.1,-1.593,1.30e-01
teapot,sah,16,5.7845,5.7846,1.0,0.0,-0.055,9.57e-01
