Model,Algorithm,k,Type,k=2 Combined Time (s),k=X Combined Time (s),Speedup,% Change,t-statistic,p-value
armadillo,bsah,4,k-way,3.988,3.9964,0.998,0.2,-0.449,6.59e-01
stanford-bunny,bsah,4,k-way,2.8582,2.8395,1.007,-0.7,1.694,1.18e-01
suzanne,bsah,4,k-way,1.2579,1.164,1.081,-7.5,20.492,4.97e-09***
teapot,bsah,4,k-way,1.0292,0.9939,1.036,-3.4,9.908,3.03e-06***
armadillo,median,4,k-way,2.2673,2.2329,1.015,-1.5,4.134,2.36e-03**
stanford-bunny,median,4,k-way,1.7762,1.7326,1.025,-2.5,6.524,9.93e-05***
suzanne,median,4,k-way,1.5162,1.4188,1.069,-6.4,16.395,4.18e-08***
teapot,median,4,k-way,1.1259,1.0581,1.064,-6.0,15.326,4.49e-08***
armadillo,sah,4,k-way,4.1163,4.132,0.996,0.4,-3.323,5.60e-03**
stanford-bunny,sah,4,k-way,2.9277,2.9164,1.004,-0.4,2.903,9.52e-03**
suzanne,sah,4,k-way,1.1957,1.1145,1.073,-6.8,72.716,1.45e-20***
teapot,sah,4,k-way,1.0046,0.9766,1.029,-2.8,44.062,9.72e-20***
armadillo,bsah,4,collapsed,3.988,3.9808,1.002,-0.2,0.556,5.91e-01
stanford-bunny,bsah,4,collapsed,2.8582,2.8351,1.008,-0.8,2.171,5.53e-02
suzanne,bsah,4,collapsed,1.2579,1.164,1.081,-7.5,20.521,5.50e-09***
teapot,bsah,4,collapsed,1.0292,0.9952,1.034,-3.3,9.504,3.99e-06***
armadillo,median,4,collapsed,2.2673,2.2335,1.015,-1.5,4.064,2.64e-03**
stanford-bunny,median,4,collapsed,1.7762,1.7366,1.023,-2.2,4.977,1.50e-04***
suzanne,median,4,collapsed,1.5162,1.4182,1.069,-6.5,16.497,3.90e-08***
teapot,median,4,collapsed,1.1259,1.0578,1.064,-6.0,15.586,6.75e-08***
armadillo,sah,4,collapsed,4.1163,4.1309,0.996,0.4,-4.216,6.33e-04***
stanford-bunny,sah,4,collapsed,2.9277,2.9161,1.004,-0.4,3.087,6.49e-03**
suzanne,sah,4,collapsed,1.1957,1.1153,1.072,-6.7,75.963,9.14e-19***
teapot,sah,4,collapsed,1.0046,0.9767,1.029,-2.8,53.116,2.32e-17***
