Model,Algorithm,k,Type,k=2 Time (s),k=X Time (s),Speedup,Speedup CI Min,Speedup CI Max,% Change,t-statistic,p-value
armadillo,bsah,4,k-way,1.06709,1.0342,1.0318,1.02262,1.04123,-3.0823,6.60243,3.40e-06***
stanford-bunny,bsah,4,k-way,0.99519,0.95384,1.04335,1.03751,1.05169,-4.15501,11.14109,1.65e-07***
suzanne,bsah,4,k-way,1.23948,1.14534,1.08219,1.0773,1.09033,-7.59491,21.34232,3.37e-09***
teapot,bsah,4,k-way,0.89416,0.85708,1.04327,1.0389,1.0508,-4.14747,12.13656,4.93e-07***
armadillo,median,4,k-way,1.30811,1.246,1.04985,1.04518,1.05785,-4.74801,13.02985,3.11e-07***
stanford-bunny,median,4,k-way,1.17689,1.10951,1.06073,1.05582,1.06927,-5.72527,14.78259,8.86e-08***
suzanne,median,4,k-way,1.51041,1.4127,1.06916,1.06419,1.07789,-6.46906,16.53097,3.92e-08***
teapot,median,4,k-way,1.08034,1.01082,1.06878,1.06335,1.07764,-6.43555,16.5509,2.01e-08***
armadillo,sah,4,k-way,1.04174,1.00884,1.03261,1.03017,1.03473,-3.15798,27.07285,1.74e-14***
stanford-bunny,sah,4,k-way,0.97275,0.93696,1.0382,1.0364,1.04,-3.67962,40.21475,1.38e-18***
suzanne,sah,4,k-way,1.17729,1.09575,1.07442,1.07253,1.07636,-6.92617,74.28457,2.92e-20***
teapot,sah,4,k-way,0.8696,0.83938,1.036,1.03478,1.03727,-3.47533,54.8641,1.73e-21***
armadillo,bsah,4,collapsed,1.06709,1.03031,1.0357,1.03109,1.04306,-3.44721,10.42609,1.09e-06***
stanford-bunny,bsah,4,collapsed,0.99519,0.95217,1.04518,1.04028,1.05317,-4.32315,12.1176,3.23e-07***
suzanne,bsah,4,collapsed,1.23948,1.14541,1.08212,1.07727,1.09023,-7.58886,21.36845,3.73e-09***
teapot,bsah,4,collapsed,0.89416,0.85832,1.04176,1.03722,1.04936,-4.00826,11.66633,5.79e-07***
armadillo,median,4,collapsed,1.30811,1.24614,1.04973,1.04494,1.05777,-4.73707,12.95809,2.88e-07***
stanford-bunny,median,4,collapsed,1.17689,1.11346,1.05696,1.04585,1.06825,-5.38905,10.42383,5.24e-09***
suzanne,median,4,collapsed,1.51041,1.41207,1.06964,1.06463,1.07833,-6.5103,16.62983,3.65e-08***
teapot,median,4,collapsed,1.08034,1.01046,1.06916,1.06419,1.07769,-6.46822,16.86711,3.25e-08***
armadillo,sah,4,collapsed,1.04174,1.00947,1.03197,1.02977,1.03423,-3.09789,27.12691,1.13e-14***
stanford-bunny,sah,4,collapsed,0.97275,0.93698,1.03818,1.03594,1.04041,-3.67745,32.79217,5.44e-17***
suzanne,sah,4,collapsed,1.17729,1.09658,1.0736,1.07181,1.07542,-6.85508,76.75852,9.59e-19***
teapot,sah,4,collapsed,0.8696,0.83955,1.03579,1.03483,1.03685,-3.45555,66.09709,1.66e-19***
armadillo,bsah,8,k-way,1.06709,1.65086,0.64639,0.6436,0.65087,54.70652,-161.8162,1.10e-19***
stanford-bunny,bsah,8,k-way,0.99519,1.48939,0.66819,0.66524,0.67316,49.65909,-138.96373,1.46e-17***
suzanne,bsah,8,k-way,1.23948,1.61053,0.76961,0.76605,0.7755,29.93647,-82.87184,2.59e-15***
teapot,bsah,8,k-way,0.89416,1.25639,0.71169,0.70867,0.71686,40.51008,-116.7786,6.97e-17***
armadillo,median,8,k-way,1.30811,2.06605,0.63314,0.63035,0.63797,57.94228,-157.96021,1.82e-17***
stanford-bunny,median,8,k-way,1.17689,1.64484,0.7155,0.7124,0.72114,39.76176,-103.0055,2.15e-15***
suzanne,median,8,k-way,1.51041,1.99563,0.75686,0.75321,0.7631,32.12553,-81.13874,6.21e-15***
teapot,median,8,k-way,1.08034,1.53365,0.70443,0.70097,0.71016,41.95945,-107.06365,1.34e-16***
armadillo,sah,8,k-way,1.04174,1.61463,0.64519,0.64436,0.64612,54.99361,-641.49934,2.96e-40***
stanford-bunny,sah,8,k-way,0.97275,1.48263,0.6561,0.65493,0.65731,52.41549,-420.16172,1.15e-33***
suzanne,sah,8,k-way,1.17729,1.56779,0.75092,0.74958,0.75231,33.16979,-302.35783,1.14e-34***
teapot,sah,8,k-way,0.8696,1.23387,0.70477,0.70398,0.70558,41.88991,-561.1587,3.06e-37***
armadillo,bsah,8,collapsed,1.06709,1.65261,0.6457,0.64306,0.65014,54.87052,-166.05779,1.74e-18***
stanford-bunny,bsah,8,collapsed,0.99519,1.4908,0.66755,0.66344,0.67326,49.80068,-112.34704,7.15e-26***
suzanne,bsah,8,collapsed,1.23948,1.61328,0.7683,0.76363,0.77479,30.15817,-72.44455,1.34e-20***
teapot,bsah,8,collapsed,0.89416,1.25748,0.71108,0.70813,0.71617,40.63165,-118.08815,1.64e-16***
armadillo,median,8,collapsed,1.30811,2.06788,0.63258,0.62983,0.63738,58.08179,-159.06398,3.06e-17***
stanford-bunny,median,8,collapsed,1.17689,1.64603,0.71498,0.71161,0.72078,39.86313,-101.44058,3.32e-16***
suzanne,median,8,collapsed,1.51041,1.99388,0.75752,0.75391,0.76375,32.00934,-80.99103,7.62e-15***
teapot,median,8,collapsed,1.08034,1.53365,0.70443,0.7011,0.7101,41.95954,-108.16849,3.95e-16***
