Model,Algorithm,k,type,k=2 Time (s),k=X Time (s),Speedup,Speedup CI Min,Speedup CI Max,% Change,t-statistic,p-value
armadillo,bsah,4,k-way,3.51034,2.43178,1.44353,1.44111,1.44571,-30.72523,433.59723,6.95e-37***
stanford-bunny,bsah,4,k-way,2.62621,1.96161,1.3388,1.33684,1.34085,-25.30652,368.96925,2.52e-36***
suzanne,bsah,4,k-way,1.4577,1.34959,1.08011,1.07791,1.08242,-7.41646,66.45237,1.95e-17***
teapot,bsah,4,k-way,1.16952,1.12723,1.03751,1.03552,1.03948,-3.61564,35.75239,4.21e-18***
armadillo,median,4,k-way,2.44292,3.12382,0.78203,0.78084,0.78325,27.87261,-287.05334,2.67e-29***
stanford-bunny,median,4,k-way,1.95334,2.50209,0.78068,0.77928,0.78206,28.09307,-261.33624,1.14e-33***
suzanne,median,4,k-way,1.79731,1.72984,1.039,1.03682,1.04111,-3.75395,34.14892,1.60e-17***
teapot,median,4,k-way,1.34331,1.93632,0.69374,0.69238,0.69493,44.14549,-326.04733,4.02e-23***
armadillo,sah,4,k-way,3.92336,3.47129,1.13023,1.12861,1.13193,-11.52248,155.5202,1.41e-29***
stanford-bunny,sah,4,k-way,2.88409,2.62488,1.09875,1.096,1.10131,-8.98783,73.08403,2.08e-23***
suzanne,sah,4,k-way,1.40952,1.26718,1.11232,1.11003,1.11479,-10.09792,91.85593,1.98e-24***
teapot,sah,4,k-way,1.16722,1.04862,1.1131,1.11067,1.11553,-10.16062,89.57822,3.82e-22***
armadillo,bsah,4,collapsed,3.51034,3.50197,1.00239,1.00094,1.00379,-0.2384,3.12257,5.88e-03**
stanford-bunny,bsah,4,collapsed,2.62621,2.60005,1.01006,1.00882,1.01136,-0.99614,14.71366,1.89e-11***
suzanne,bsah,4,collapsed,1.4577,1.34224,1.08603,1.08341,1.08866,-7.92112,62.33375,2.99e-21***
teapot,bsah,4,collapsed,1.16952,1.13688,1.0287,1.02679,1.03054,-2.79022,28.83361,1.62e-16***
armadillo,median,4,collapsed,2.44292,2.4098,1.01374,1.01243,1.01514,-1.35543,18.91406,2.52e-13***
stanford-bunny,median,4,collapsed,1.95334,1.8915,1.0327,1.03085,1.03451,-3.16612,33.61868,1.43e-16***
suzanne,median,4,collapsed,1.79731,1.6826,1.06817,1.06607,1.07017,-6.38228,63.64467,2.47e-20***
teapot,median,4,collapsed,1.34331,1.26948,1.05815,1.05626,1.0599,-5.49574,61.81933,2.70e-18***
armadillo,sah,4,collapsed,3.92336,3.91658,1.00173,1.00058,1.00298,-0.17274,2.67109,1.62e-02*
stanford-bunny,sah,4,collapsed,2.88409,2.85931,1.00867,1.00696,1.01048,-0.85931,9.12155,2.03e-07***
suzanne,sah,4,collapsed,1.40952,1.31268,1.07377,1.07141,1.07631,-6.8705,57.67801,7.82e-22***
teapot,sah,4,collapsed,1.16722,1.13743,1.02619,1.02397,1.02845,-2.55184,21.80777,2.15e-13***
armadillo,bsah,8,k-way,3.51034,2.38637,1.471,1.46849,1.47339,-32.01883,441.39954,1.92e-37***
stanford-bunny,bsah,8,k-way,2.62621,1.87618,1.39977,1.39793,1.40171,-28.55952,453.5636,2.48e-36***
