Model,Algorithm,k,type,k=2 Time (s),k=X Time (s),Speedup,Speedup CI Min,Speedup CI Max,% Change,t-statistic,p-value
armadillo,bsah,4,k-way,1.27326,1.25456,1.0149,1.01256,1.01706,-1.46852,12.35297,3.19e-10***
stanford-bunny,bsah,4,k-way,1.18485,1.19746,0.98947,0.98748,0.99152,1.06418,-9.61125,2.57e-08***
suzanne,bsah,4,k-way,1.44346,1.34202,1.07559,1.07346,1.07783,-7.02749,64.72128,2.23e-17***
teapot,bsah,4,k-way,1.06401,1.07087,0.9936,0.99178,0.99537,0.64454,-6.56342,4.17e-06***
armadillo,median,4,k-way,1.58654,2.56954,0.61744,0.61628,0.61868,61.95881,-440.58765,1.25e-31***
stanford-bunny,median,4,k-way,1.40954,2.17407,0.64834,0.64703,0.64963,54.23998,-412.06883,7.20e-37***
suzanne,median,4,k-way,1.79207,1.72695,1.03771,1.03553,1.03981,-3.63357,33.23903,2.38e-17***
teapot,median,4,k-way,1.30217,1.90924,0.68204,0.68074,0.68316,46.6198,-349.48941,2.15e-23***
armadillo,sah,4,k-way,1.2508,1.19818,1.04392,1.04161,1.04629,-4.20698,35.69323,3.93e-18***
stanford-bunny,sah,4,k-way,1.16968,1.14098,1.02516,1.02055,1.0297,-2.454,10.33521,5.36e-09***
suzanne,sah,4,k-way,1.39345,1.25441,1.11084,1.10861,1.11326,-9.97818,92.72439,2.44e-24***
teapot,sah,4,k-way,1.04686,0.94651,1.10601,1.10367,1.10839,-9.58506,86.32033,3.07e-21***
armadillo,bsah,4,collapsed,1.27326,1.2301,1.03508,1.03285,1.03728,-3.38957,30.02222,9.35e-17***
stanford-bunny,bsah,4,collapsed,1.18485,1.13682,1.04225,1.04044,1.04412,-4.05392,43.53472,1.47e-19***
suzanne,bsah,4,collapsed,1.44346,1.32762,1.08725,1.08471,1.08983,-8.02482,64.99862,1.44e-21***
teapot,bsah,4,collapsed,1.06401,1.02956,1.03346,1.03162,1.03524,-3.23784,34.79283,6.80e-18***
armadillo,median,4,collapsed,1.58654,1.52319,1.04159,1.03968,1.04369,-3.9931,39.33533,6.56e-19***
stanford-bunny,median,4,collapsed,1.40954,1.3272,1.06204,1.05979,1.06427,-5.84157,52.60114,3.55e-20***
suzanne,median,4,collapsed,1.79207,1.6771,1.06855,1.06647,1.07053,-6.41543,64.74499,2.29e-20***
teapot,median,4,collapsed,1.30217,1.22635,1.06183,1.05998,1.06352,-5.82274,67.89692,5.23e-19***
armadillo,sah,4,collapsed,1.2508,1.20789,1.03553,1.03338,1.03773,-3.43108,30.60649,1.08e-16***
stanford-bunny,sah,4,collapsed,1.16968,1.12321,1.04138,1.03829,1.04517,-3.97322,22.16851,8.45e-11***
suzanne,sah,4,collapsed,1.39345,1.29622,1.07501,1.07271,1.0775,-6.978,60.14854,4.22e-22***
teapot,sah,4,collapsed,1.04686,1.01471,1.03168,1.02951,1.03389,-3.07101,26.99462,2.10e-14***
armadillo,bsah,8,k-way,1.27326,1.16591,1.09207,1.0894,1.09459,-8.43082,69.12573,3.48e-23***
stanford-bunny,bsah,8,k-way,1.18485,1.11119,1.06629,1.06425,1.0684,-6.21697,61.05543,3.33e-22***
suzanne,bsah,8,k-way,1.44346,1.17369,1.22985,1.22711,1.23261,-18.68934,164.30892,5.69e-25***
teapot,bsah,8,k-way,1.06401,0.96803,1.09915,1.09685,1.1013,-9.02061,88.35961,3.44e-24***
armadillo,median,8,k-way,1.58654,3.5809,0.44306,0.44233,0.44384,125.70534,-868.88563,3.07e-35***
stanford-bunny,median,8,k-way,1.40954,3.33912,0.42213,0.4212,0.42304,136.89512,-678.09979,5.92e-31***
suzanne,median,8,k-way,1.79207,2.6782,0.66913,0.6678,0.67041,49.44759,-391.92579,3.14e-36***
teapot,median,8,k-way,1.30217,2.87597,0.45278,0.45215,0.45333,120.85949,-901.74769,7.87e-28***
armadillo,sah,8,k-way,1.2508,1.55719,0.80324,0.80145,0.8051,24.49524,-175.89891,4.57e-29***
stanford-bunny,sah,8,k-way,1.16968,1.41159,0.82863,0.82598,0.83176,20.68138,-104.62063,5.28e-23***
suzanne,sah,8,k-way,1.39345,1.62164,0.85929,0.8575,0.86119,16.37546,-132.37168,2.70e-28***
teapot,sah,8,k-way,1.04686,1.2506,0.83708,0.83527,0.83893,19.46268,-155.43696,5.60e-29***
armadillo,bsah,8,collapsed,1.27326,2.11061,0.60326,0.60182,0.6047,65.76481,-360.80073,4.15e-28***
stanford-bunny,bsah,8,collapsed,1.18485,1.90104,0.62327,0.62231,0.62426,60.44505,-569.7298,6.03e-39***
suzanne,bsah,8,collapsed,1.44346,2.03905,0.70791,0.70633,0.70957,41.26158,-282.90327,4.54e-34***
teapot,bsah,8,collapsed,1.06401,1.60078,0.66469,0.66375,0.66566,50.44718,-541.76469,3.50e-39***
armadillo,median,8,collapsed,1.58654,2.68246,0.59145,0.59022,0.59268,69.07663,-430.50978,7.28e-29***
stanford-bunny,median,8,collapsed,1.40954,2.08941,0.67461,0.67322,0.67598,48.2336,-365.26733,6.71e-36***
suzanne,median,8,collapsed,1.79207,2.49868,0.71721,0.71589,0.71848,39.4299,-360.30085,1.47e-35***
teapot,median,8,collapsed,1.30217,1.96148,0.66387,0.66307,0.66457,50.63202,-647.64297,7.18e-35***
armadillo,sah,8,collapsed,1.2508,2.06491,0.60574,0.60458,0.60692,65.08696,-501.93851,3.66e-38***
stanford-bunny,sah,8,collapsed,1.16968,1.89016,0.61883,0.61701,0.6211,61.59633,-309.84861,2.05e-30***
suzanne,sah,8,collapsed,1.39345,1.97018,0.70727,0.70588,0.7088,41.38818,-316.20948,1.79e-34***
teapot,sah,8,collapsed,1.04686,1.56999,0.66679,0.66539,0.6682,49.97206,-379.07952,1.67e-36***
armadillo,bsah,16,k-way,1.27326,1.15413,1.10322,1.10026,1.10619,-9.35608,69.20991,3.05e-22***
stanford-bunny,bsah,16,k-way,1.18485,1.09334,1.0837,1.08156,1.08596,-7.72366,74.32701,1.37e-23***
suzanne,bsah,16,k-way,1.44346,1.17965,1.22363,1.22063,1.22665,-18.27582,148.82978,2.03e-27***
teapot,bsah,16,k-way,1.06401,0.92955,1.14465,1.14238,1.14688,-12.63701,129.44712,1.27e-27***
armadillo,median,16,k-way,1.58654,6.1587,0.25761,0.2572,0.25807,288.18478,-1271.92354,9.41e-30***
stanford-bunny,median,16,k-way,1.40954,5.37523,0.26223,0.26178,0.26269,281.34776,-1909.21239,7.62e-46***
suzanne,median,16,k-way,1.79207,3.30057,0.54296,0.54186,0.544,84.17628,-572.79074,1.12e-35***
teapot,median,16,k-way,1.30217,4.99487,0.2607,0.2604,0.26094,283.58056,-1868.6906,3.76e-30***
armadillo,sah,16,k-way,1.2508,2.273,0.55029,0.54908,0.55151,81.72333,-470.16163,3.91e-31***
stanford-bunny,sah,16,k-way,1.16968,1.91174,0.61184,0.60987,0.61416,63.44171,-286.83835,9.35e-34***
suzanne,sah,16,k-way,1.39345,1.93401,0.7205,0.71908,0.72204,38.79275,-299.64354,3.23e-34***
teapot,sah,16,k-way,1.04686,1.69551,0.61743,0.61616,0.61872,61.96226,-468.6229,3.56e-38***
armadillo,bsah,16,collapsed,1.27326,14.70008,0.08662,0.08645,0.08678,1054.52576,-1533.11855,2.35e-26***
stanford-bunny,bsah,16,collapsed,1.18485,10.9495,0.10821,0.10805,0.10838,824.12308,-1844.15894,1.51e-27***
suzanne,bsah,16,collapsed,1.44346,9.87311,0.1462,0.1459,0.14652,583.98992,-1377.3621,8.75e-28***
teapot,bsah,16,collapsed,1.06401,7.6168,0.13969,0.1395,0.13989,615.85649,-2053.4162,4.88e-29***
armadillo,median,16,collapsed,1.58654,18.45224,0.08598,0.08583,0.08614,1063.05062,-1476.9366,5.37e-26***
stanford-bunny,median,16,collapsed,1.40954,11.52132,0.12234,0.12211,0.12258,717.38388,-1585.77301,1.33e-27***
suzanne,median,16,collapsed,1.79207,11.98956,0.14947,0.14918,0.14975,569.03451,-1387.8172,3.54e-27***
teapot,median,16,collapsed,1.30217,7.83696,0.16616,0.16592,0.16639,501.83847,-1323.40815,1.21e-25***
armadillo,sah,16,collapsed,1.2508,14.55266,0.08595,0.0858,0.08611,1063.46632,-2025.80967,4.65e-28***
stanford-bunny,sah,16,collapsed,1.16968,10.96794,0.10665,0.10632,0.10704,837.68723,-1183.38123,3.17e-27***
suzanne,sah,16,collapsed,1.39345,9.7132,0.14346,0.1432,0.14374,597.06089,-1539.04766,5.55e-28***
teapot,sah,16,collapsed,1.04686,7.60914,0.13758,0.13729,0.13788,626.85663,-1286.33392,9.56e-27***
