Model,Algorithm,k,k-way Time (s),collapsed Time (s),Speedup,Speedup CI Min,Speedup CI Max,% Change,t-statistic,p-value
armadillo,bsah,4,1.11355,1.13731,0.97911,0.97689,0.98105,2.13335,-18.19964,1.54e-09***
stanford-bunny,bsah,4,1.03063,1.08736,0.94783,0.94589,0.95027,5.50452,-43.33594,7.41e-16***
suzanne,bsah,4,1.20575,1.21518,0.99224,0.99073,0.9937,0.78184,-9.69173,1.52e-08***
teapot,bsah,4,0.93322,0.96895,0.96313,0.96158,0.96468,3.82865,-43.61848,1.39e-18***
armadillo,bsah,8,1.84448,1.51793,1.21513,1.21353,1.21676,-17.70442,275.92698,4.81e-34***
stanford-bunny,bsah,8,1.66523,1.36558,1.21942,1.21798,1.2209,-17.99412,311.21909,4.90e-35***
suzanne,bsah,8,1.78827,1.68226,1.06301,1.06182,1.06421,-5.9277,99.46194,8.63e-26***
teapot,bsah,8,1.40276,1.25084,1.12146,1.12019,1.12277,-10.83024,179.63594,4.98e-25***
armadillo,bsah,16,12.47347,2.10734,5.91906,5.91127,5.92625,-83.10544,1975.80381,4.52e-29***
stanford-bunny,bsah,16,9.30903,1.78665,5.21033,5.20448,5.21593,-80.80737,2560.30674,6.43e-33***
suzanne,bsah,16,8.42764,2.10572,4.00225,3.99669,4.00765,-75.01408,1596.59604,1.53e-30***
teapot,bsah,16,6.49817,1.83386,3.54344,3.53411,3.55078,-71.77881,1124.72637,3.86e-37***
