Model,Algorithm,k,type,k=2 Time (s),k=X Time (s),Speedup,Speedup CI Min,Speedup CI Max,% Change,t-statistic,p-value
armadillo,bsah,4,k-way,3.4002,2.31408,1.46935,1.4671,1.47143,-31.94282,519.13876,5.18e-38***
stanford-bunny,bsah,4,k-way,2.5267,1.85116,1.36493,1.36356,1.36632,-26.7361,590.10914,1.05e-39***
suzanne,bsah,4,k-way,1.33257,1.22266,1.08989,1.08826,1.09154,-8.24801,106.95128,2.28e-26***
teapot,bsah,4,k-way,1.077,1.02445,1.05129,1.04943,1.05317,-4.87865,52.14678,4.71e-21***
armadillo,bsah,4,collapsed,3.4002,3.38688,1.00393,1.00302,1.00485,-0.39186,8.03762,4.39e-07***
stanford-bunny,bsah,4,collapsed,2.5267,2.4966,1.01206,1.01079,1.01309,-1.19128,19.34713,1.22e-11***
suzanne,bsah,4,collapsed,1.33257,1.22027,1.09203,1.09033,1.09377,-8.42733,104.08183,1.80e-26***
teapot,bsah,4,collapsed,1.077,1.0406,1.03498,1.0333,1.03668,-3.37946,39.57533,1.08e-18***
armadillo,bsah,8,k-way,3.4002,2.29509,1.48151,1.47981,1.48329,-32.50142,630.04115,1.56e-39***
stanford-bunny,bsah,8,k-way,2.5267,1.88102,1.34326,1.34181,1.34469,-25.55451,538.13454,2.95e-38***
suzanne,bsah,8,k-way,1.33257,1.68719,0.78982,0.78876,0.79086,26.61153,-338.17566,1.70e-35***
teapot,bsah,8,k-way,1.077,1.28993,0.83493,0.83376,0.83608,19.77088,-252.99267,3.80e-30***
armadillo,bsah,8,collapsed,3.4002,4.14143,0.82102,0.82031,0.82173,21.79971,-437.38788,1.07e-35***
stanford-bunny,bsah,8,collapsed,2.5267,3.145,0.8034,0.80274,0.80405,24.47045,-496.03275,7.33e-37***
suzanne,bsah,8,collapsed,1.33257,1.80296,0.7391,0.73807,0.74012,35.29942,-415.05446,4.23e-37***
teapot,bsah,8,collapsed,1.077,1.51159,0.71249,0.71135,0.71364,40.35239,-390.11325,2.74e-35***
armadillo,bsah,16,k-way,3.4002,2.71923,1.25043,1.24899,1.2518,-20.02736,370.9312,2.94e-36***
stanford-bunny,bsah,16,k-way,2.5267,2.18871,1.15443,1.1532,1.15563,-13.37702,261.01232,2.29e-31***
suzanne,bsah,16,k-way,1.33257,2.1094,0.63173,0.63077,0.6327,58.29598,-533.84289,1.14e-33***
teapot,bsah,16,k-way,1.077,1.86667,0.57696,0.57543,0.5782,73.32188,-357.3729,1.29e-23***
armadillo,bsah,16,collapsed,3.4002,14.79231,0.22986,0.22963,0.2301,335.04232,-1957.14044,2.84e-29***
stanford-bunny,bsah,16,collapsed,2.5267,10.801,0.23393,0.23375,0.23412,327.47372,-2620.23671,7.16e-31***
suzanne,bsah,16,collapsed,1.33257,8.44265,0.15784,0.15763,0.15805,533.56165,-1845.74034,2.38e-28***
teapot,bsah,16,collapsed,1.077,6.60811,0.16298,0.16272,0.16324,513.56907,-1482.24752,3.66e-27***
