Model,Algorithm,k,type,k=2 Time (s),k=X Time (s),Speedup,Speedup CI Min,Speedup CI Max,% Change,t-statistic,p-value
armadillo,bsah,4,k-way,1.1604,1.13731,1.0203,1.01777,1.0226,-1.99,15.85091,8.76e-11***
stanford-bunny,bsah,4,k-way,1.08191,1.08736,0.99499,0.99364,0.99636,0.50337,-6.76719,2.60e-06***
suzanne,bsah,4,k-way,1.31838,1.21518,1.08492,1.08334,1.08652,-7.82766,104.05184,3.17e-26***
teapot,bsah,4,k-way,0.97182,0.96895,1.00296,1.00129,1.00467,-0.29486,3.255,4.46e-03**
armadillo,bsah,4,collapsed,1.1604,1.11355,1.04207,1.04062,1.04356,-4.03723,53.8302,1.99e-17***
stanford-bunny,bsah,4,collapsed,1.08191,1.03063,1.04976,1.04713,1.05182,-4.74022,40.02377,1.03e-14***
suzanne,bsah,4,collapsed,1.31838,1.20575,1.09341,1.09177,1.09508,-8.54271,109.72193,7.29e-27***
teapot,bsah,4,collapsed,0.97182,0.93322,1.04136,1.03982,1.04293,-3.97146,50.59412,2.26e-20***
armadillo,bsah,8,k-way,1.1604,1.51793,0.76446,0.76328,0.76569,30.81075,-318.68532,4.30e-35***
stanford-bunny,bsah,8,k-way,1.08191,1.36558,0.79227,0.79124,0.79329,26.21962,-327.65852,6.87e-34***
suzanne,bsah,8,k-way,1.31838,1.68226,0.78369,0.78266,0.7847,27.60115,-356.60679,4.97e-36***
teapot,bsah,8,k-way,0.97182,1.25084,0.77694,0.77594,0.77792,28.71064,-390.24889,1.80e-33***
armadillo,bsah,8,collapsed,1.1604,1.84448,0.62912,0.62818,0.63008,58.95234,-595.88144,1.03e-39***
stanford-bunny,bsah,8,collapsed,1.08191,1.66523,0.64971,0.64891,0.65046,53.91534,-672.09768,3.67e-39***
suzanne,bsah,8,collapsed,1.31838,1.78827,0.73724,0.73624,0.73822,35.64158,-431.51633,2.19e-37***
teapot,bsah,8,collapsed,0.97182,1.40276,0.69279,0.69175,0.69383,44.34338,-456.79484,2.18e-36***
armadillo,bsah,16,k-way,1.1604,2.10734,0.55065,0.54976,0.55151,81.60445,-682.89635,2.03e-36***
stanford-bunny,bsah,16,k-way,1.08191,1.78665,0.60555,0.60475,0.60637,65.13808,-662.7048,6.51e-34***
suzanne,bsah,16,k-way,1.31838,2.10572,0.62609,0.62516,0.62704,59.72097,-551.74013,2.36e-33***
teapot,bsah,16,k-way,0.97182,1.83386,0.52993,0.52853,0.53104,88.70399,-398.19653,4.04e-23***
armadillo,bsah,16,collapsed,1.1604,12.47347,0.09303,0.0929,0.09317,974.92847,-2186.15402,3.75e-28***
stanford-bunny,bsah,16,collapsed,1.08191,9.30903,0.11622,0.1161,0.11635,760.42447,-2894.78515,5.06e-30***
suzanne,bsah,16,collapsed,1.31838,8.42764,0.15643,0.15623,0.15664,539.24389,-1852.1396,3.23e-28***
teapot,bsah,16,collapsed,0.97182,6.49817,0.14955,0.14933,0.14978,568.66056,-1521.22812,7.33e-27***
