Model,Algorithm,k,k-way Time (s),collapsed Time (s),Speedup,Speedup CI Min,Speedup CI Max,% Change,t-statistic,p-value
armadillo,sah,4,1.0742,1.07949,0.99509,0.99318,0.99705,0.49302,-4.64066,2.84e-04***
stanford-bunny,sah,4,0.99828,1.02768,0.9714,0.9699,0.97289,2.94454,-34.67249,1.14e-17***
suzanne,sah,4,1.15126,1.14729,1.00346,1.00115,1.0059,-0.34484,2.72758,1.79e-02*
teapot,sah,4,0.89869,0.85101,1.05603,1.05425,1.05779,-5.30541,59.15829,1.17e-19***
armadillo,sah,8,1.74258,1.43501,1.21433,1.21292,1.21597,-17.65032,302.76313,4.37e-30***
stanford-bunny,sah,8,1.59775,1.31894,1.21139,1.20946,1.21331,-17.45037,229.59381,5.83e-32***
suzanne,sah,8,1.66295,1.5772,1.05437,1.05298,1.05576,-5.1565,74.99242,1.58e-23***
teapot,sah,8,1.32236,1.17502,1.12539,1.12395,1.1268,-11.14183,175.998,9.83e-28***
armadillo,sah,16,11.77749,2.38811,4.93172,4.91838,4.94129,-79.72309,1755.2863,4.94e-43***
stanford-bunny,sah,16,8.90724,1.9614,4.54126,4.53629,4.54626,-77.97969,1608.39711,5.12e-27***
suzanne,sah,16,7.88948,2.2137,3.56394,3.5586,3.56945,-71.94116,1020.08845,2.12e-25***
teapot,sah,16,6.17779,2.27594,2.71439,2.71094,2.7174,-63.15938,2134.44923,1.75e-48***
