Model,Algorithm,k,type,k=2 Time (s),k=X Time (s),Speedup,Speedup CI Min,Speedup CI Max,% Change,t-statistic,p-value
armadillo,sah,4,k-way,3.72904,3.34005,1.11646,1.11418,1.11852,-10.43139,102.53874,1.48e-22***
stanford-bunny,sah,4,k-way,2.72747,2.50084,1.09062,1.088,1.09324,-8.30903,65.17424,1.48e-15***
suzanne,sah,4,k-way,1.27404,1.16037,1.09796,1.09414,1.10173,-8.92224,50.07428,1.81e-19***
teapot,sah,4,k-way,1.06074,0.95224,1.11394,1.11137,1.11625,-10.22866,89.53288,3.09e-19***
armadillo,sah,4,collapsed,3.72904,3.71371,1.00413,1.00217,1.00586,-0.41104,4.16689,9.84e-04***
stanford-bunny,sah,4,collapsed,2.72747,2.69094,1.01357,1.01113,1.01603,-1.33929,10.29148,3.11e-07***
suzanne,sah,4,collapsed,1.27404,1.16734,1.0914,1.08823,1.09448,-8.37498,55.09522,6.61e-15***
teapot,sah,4,collapsed,1.06074,1.01787,1.04211,1.03948,1.04459,-4.04128,31.34791,3.23e-16***
armadillo,sah,8,k-way,3.72904,3.89197,0.95814,0.95615,0.95989,4.36931,-41.21699,1.00e-17***
stanford-bunny,sah,8,k-way,2.72747,2.93089,0.93059,0.92816,0.933,7.4585,-52.97441,3.60e-18***
suzanne,sah,8,k-way,1.27404,1.59113,0.80072,0.79838,0.80301,24.88795,-155.31188,7.70e-23***
teapot,sah,8,k-way,1.06074,1.28642,0.82457,0.8226,0.82637,21.27582,-162.98057,1.95e-28***
armadillo,sah,8,collapsed,3.72904,4.40352,0.84683,0.84529,0.84811,18.08728,-199.95519,4.56e-20***
stanford-bunny,sah,8,collapsed,2.72747,3.30481,0.8253,0.82333,0.82728,21.16785,-160.67232,1.01e-21***
suzanne,sah,8,collapsed,1.27404,1.67936,0.75865,0.75648,0.76076,31.81336,-203.86193,8.12e-23***
teapot,sah,8,collapsed,1.06074,1.44297,0.73511,0.73347,0.73654,36.03416,-306.17818,6.01e-28***
armadillo,sah,16,k-way,3.72904,5.6135,0.6643,0.65081,0.67185,50.53482,-33.32434,8.65e-11***
stanford-bunny,sah,16,k-way,2.72747,4.00638,0.68078,0.67918,0.68238,46.89017,-355.72731,5.51e-26***
suzanne,sah,16,k-way,1.27404,2.23004,0.57131,0.56966,0.57288,75.0363,-457.35897,1.23e-30***
teapot,sah,16,k-way,1.06074,2.41704,0.43886,0.43778,0.43983,127.86397,-684.98974,1.65e-36***
armadillo,sah,16,collapsed,3.72904,14.46126,0.25786,0.25738,0.25828,287.80132,-1748.93503,2.08e-41***
stanford-bunny,sah,16,collapsed,2.72747,10.6265,0.25667,0.25606,0.25729,289.61066,-1348.09191,1.39e-41***
suzanne,sah,16,collapsed,1.27404,7.90614,0.16115,0.16066,0.16162,520.55479,-1141.68683,3.61e-29***
teapot,sah,16,collapsed,1.06074,6.29944,0.16839,0.16803,0.1687,493.87281,-3254.09231,3.78e-53***
