Model,Algorithm,k,type,k=2 Time (s),k=X Time (s),Speedup,Speedup CI Min,Speedup CI Max,% Change,t-statistic,p-value
armadillo,sah,4,k-way,1.12994,1.07949,1.04673,1.04385,1.04962,-4.46458,30.47067,1.16e-15***
stanford-bunny,sah,4,k-way,1.05619,1.02768,1.02775,1.02491,1.03044,-2.69961,18.6968,1.28e-10***
suzanne,sah,4,k-way,1.25831,1.14729,1.09677,1.09298,1.10051,-8.82302,49.84993,1.48e-19***
teapot,sah,4,k-way,0.94397,0.85101,1.10923,1.10671,1.11148,-9.84721,87.71366,6.26e-19***
armadillo,sah,4,collapsed,1.12994,1.0742,1.05189,1.04925,1.05449,-4.93328,37.19429,2.14e-14***
stanford-bunny,sah,4,collapsed,1.05619,0.99828,1.05801,1.05514,1.06073,-5.48271,38.85112,7.81e-14***
suzanne,sah,4,collapsed,1.25831,1.15126,1.09299,1.08986,1.09601,-8.50752,56.94017,7.09e-15***
teapot,sah,4,collapsed,0.94397,0.89869,1.05038,1.04779,1.05279,-4.79626,38.46538,2.74e-17***
armadillo,sah,8,k-way,1.12994,1.43501,0.78741,0.78541,0.78936,26.9988,-189.86518,4.17e-27***
stanford-bunny,sah,8,k-way,1.05619,1.31894,0.80079,0.79849,0.80296,24.8768,-157.85264,1.44e-26***
suzanne,sah,8,k-way,1.25831,1.5772,0.79781,0.79553,0.80007,25.34254,-160.7035,7.64e-23***
teapot,sah,8,k-way,0.94397,1.17502,0.80336,0.8015,0.80503,24.47747,-195.02669,7.21e-29***
armadillo,sah,8,collapsed,1.12994,1.74258,0.64843,0.64688,0.6499,54.21894,-419.28277,5.70e-26***
stanford-bunny,sah,8,collapsed,1.05619,1.59775,0.66105,0.65928,0.66272,51.27482,-340.29411,2.70e-29***
suzanne,sah,8,collapsed,1.25831,1.66295,0.75667,0.75454,0.75875,32.15723,-209.06403,7.84e-23***
teapot,sah,8,collapsed,0.94397,1.32236,0.71385,0.71229,0.71519,40.08557,-351.92869,1.65e-27***
armadillo,sah,16,k-way,1.12994,2.38811,0.47315,0.47152,0.47455,111.34867,-384.56289,5.35e-27***
stanford-bunny,sah,16,k-way,1.05619,1.9614,0.53849,0.53707,0.5398,85.70559,-587.99593,2.91e-30***
suzanne,sah,16,k-way,1.25831,2.2137,0.56842,0.56681,0.56996,75.92606,-470.5596,1.58e-30***
teapot,sah,16,k-way,0.94397,2.27594,0.41476,0.41378,0.41565,141.10391,-779.28109,7.48e-38***
armadillo,sah,16,collapsed,1.12994,11.77749,0.09594,0.09571,0.09616,942.31202,-2291.27069,1.06e-31***
stanford-bunny,sah,16,collapsed,1.05619,8.90724,0.11858,0.11826,0.11888,743.33779,-1750.83461,5.54e-31***
suzanne,sah,16,collapsed,1.25831,7.88948,0.15949,0.15902,0.15995,526.98975,-1150.64562,4.86e-29***
teapot,sah,16,collapsed,0.94397,6.17779,0.1528,0.15248,0.15307,554.45124,-3466.83474,2.83e-52***
