Model,Algorithm,k,type,k=2 Time (s),k=X Time (s),Speedup,Speedup CI Min,Speedup CI Max,% Change,t-statistic,p-value
armadillo,bsah,4,k-way,1.1604,1.13731,1.0203,1.01779,1.02267,-1.99,15.85091,8.76e-11***
stanford-bunny,bsah,4,k-way,1.08191,1.08736,0.99499,0.99365,0.99637,0.50337,-6.76719,2.60e-06***
suzanne,bsah,4,k-way,1.31838,1.21518,1.08492,1.08336,1.08651,-7.82766,104.05184,3.17e-26***
teapot,bsah,4,k-way,0.97182,0.96895,1.00296,1.00128,1.00466,-0.29486,3.255,4.46e-03**
armadillo,median,4,k-way,1.41897,1.44706,0.98059,0.97843,0.98258,1.97975,-17.20664,1.28e-12***
stanford-bunny,median,4,k-way,1.26232,1.22297,1.03218,1.02862,1.03567,-3.1172,17.25035,1.91e-12***
suzanne,median,4,k-way,1.61353,1.3071,1.23443,1.23074,1.23782,-18.99107,125.61539,2.92e-18***
teapot,median,4,k-way,1.17302,1.20319,0.97493,0.97284,0.97694,2.57181,-22.58317,1.12e-13***
armadillo,sah,4,k-way,1.12994,1.07949,1.04673,1.04384,1.04968,-4.46458,30.47067,1.16e-15***
stanford-bunny,sah,4,k-way,1.05619,1.02768,1.02775,1.02487,1.03047,-2.69961,18.6968,1.28e-10***
suzanne,sah,4,k-way,1.25831,1.14729,1.09677,1.09302,1.1005,-8.82302,49.84993,1.48e-19***
teapot,sah,4,k-way,0.94397,0.85101,1.10923,1.10671,1.11145,-9.84721,87.71366,6.26e-19***
armadillo,bsah,4,collapsed,1.1604,1.11355,1.04207,1.04065,1.04356,-4.03723,53.8302,1.99e-17***
stanford-bunny,bsah,4,collapsed,1.08191,1.03063,1.04976,1.04705,1.05185,-4.74022,40.02377,1.03e-14***
suzanne,bsah,4,collapsed,1.31838,1.20575,1.09341,1.09182,1.09509,-8.54271,109.72193,7.29e-27***
teapot,bsah,4,collapsed,0.97182,0.93322,1.04136,1.03981,1.04293,-3.97146,50.59412,2.26e-20***
armadillo,median,4,collapsed,1.41897,1.52319,0.93158,0.92962,0.9334,7.34471,-64.60392,9.24e-23***
stanford-bunny,median,4,collapsed,1.26232,1.3272,0.95112,0.94817,0.95364,5.13975,-32.71292,1.30e-14***
suzanne,median,4,collapsed,1.61353,1.6771,0.9621,0.95917,0.96471,3.93968,-25.13401,8.64e-12***
teapot,median,4,collapsed,1.17302,1.22635,0.95652,0.95431,0.95865,4.54586,-36.38916,3.71e-18***
armadillo,sah,4,collapsed,1.12994,1.0742,1.05189,1.04922,1.05449,-4.93328,37.19429,2.14e-14***
stanford-bunny,sah,4,collapsed,1.05619,0.99828,1.05801,1.05511,1.06071,-5.48271,38.85112,7.81e-14***
suzanne,sah,4,collapsed,1.25831,1.15126,1.09299,1.08987,1.09601,-8.50752,56.94017,7.09e-15***
teapot,sah,4,collapsed,0.94397,0.89869,1.05038,1.04781,1.05275,-4.79626,38.46538,2.74e-17***
armadillo,bsah,8,k-way,1.1604,1.51793,0.76446,0.76327,0.76569,30.81075,-318.68532,4.30e-35***
stanford-bunny,bsah,8,k-way,1.08191,1.36558,0.79227,0.79124,0.79328,26.21962,-327.65852,6.87e-34***
suzanne,bsah,8,k-way,1.31838,1.68226,0.78369,0.78266,0.78468,27.60115,-356.60679,4.97e-36***
teapot,bsah,8,k-way,0.97182,1.25083,0.77694,0.77594,0.77792,28.71064,-390.24889,1.80e-33***
armadillo,median,8,k-way,1.41897,1.81479,0.78189,0.77974,0.78409,27.89522,-155.70163,4.49e-23***
stanford-bunny,median,8,k-way,1.26232,1.67889,0.75187,0.74938,0.75417,33.00098,-171.20212,2.35e-30***
suzanne,median,8,k-way,1.61353,1.86262,0.86627,0.86342,0.86891,15.43775,-86.51825,3.02e-23***
teapot,median,8,k-way,1.17302,1.63747,0.71636,0.71471,0.718,39.59382,-265.6729,1.88e-32***
armadillo,sah,8,k-way,1.12994,1.43501,0.78741,0.78543,0.78937,26.9988,-189.86518,4.17e-27***
stanford-bunny,sah,8,k-way,1.05619,1.31894,0.80079,0.79855,0.80292,24.8768,-157.85264,1.44e-26***
suzanne,sah,8,k-way,1.25831,1.5772,0.79781,0.7955,0.80005,25.34254,-160.7035,7.64e-23***
teapot,sah,8,k-way,0.94397,1.17502,0.80336,0.8015,0.80503,24.47747,-195.02669,7.21e-29***
armadillo,bsah,8,collapsed,1.1604,1.84448,0.62912,0.62818,0.63007,58.95234,-595.88144,1.03e-39***
stanford-bunny,bsah,8,collapsed,1.08191,1.66523,0.64971,0.64893,0.65046,53.91534,-672.09768,3.67e-39***
suzanne,bsah,8,collapsed,1.31838,1.78827,0.73724,0.73626,0.73821,35.64158,-431.51633,2.19e-37***
teapot,bsah,8,collapsed,0.97182,1.40276,0.69279,0.69177,0.69381,44.34338,-456.79484,2.18e-36***
armadillo,median,8,collapsed,1.41897,2.68246,0.52898,0.52776,0.53005,89.04351,-496.01099,9.99e-30***
stanford-bunny,median,8,collapsed,1.26232,2.08941,0.60415,0.60233,0.60573,65.5215,-371.83741,5.76e-35***
